,byol_loss_b,byol_loss_e,vloss_e
0,3.6355388164520264,0.37113347054258283,0.006139908451586962
1,3.034935474395752,0.011713168602071557,0.004562754649668932
2,2.477445125579834,,
3,1.9825736284255981,,
4,1.5610944032669067,,
5,1.2130515575408936,,
6,0.9324060082435608,,
7,0.7105250954627991,,
8,0.5401819348335266,,
9,0.41110074520111084,,
10,0.31456294655799866,,
11,0.24507123231887817,,
12,0.19510716199874878,,
13,0.15956248342990875,,
14,0.13457787036895752,,
15,0.11649907380342484,,
16,0.10331837832927704,,
17,0.09465226531028748,,
18,0.08631700277328491,,
19,0.07959610223770142,,
20,0.07373595237731934,,
21,0.06730202585458755,,
22,0.06235585734248161,,
23,0.05640273168683052,,
24,0.05135238170623779,,
25,0.04692547395825386,,
26,0.042184311896562576,,
27,0.03874169662594795,,
28,0.03493121638894081,,
29,0.03246136009693146,,
30,0.030297759920358658,,
31,0.02788194827735424,,
32,0.026279302313923836,,
33,0.025144370272755623,,
34,0.0235604215413332,,
35,0.02267344295978546,,
36,0.02180844359099865,,
37,0.02067493088543415,,
38,0.019622376188635826,,
39,0.018729371950030327,,
40,0.01777031272649765,,
41,0.01734120398759842,,
42,0.017054516822099686,,
43,0.01616966910660267,,
44,0.015393432229757309,,
45,0.015310948714613914,,
46,0.015149720013141632,,
47,0.014386357739567757,,
48,0.014016243629157543,,
49,0.014031910337507725,,
50,0.013591405004262924,,
51,0.013659229502081871,,
52,0.013188331387937069,,
53,0.01335945911705494,,
54,0.012805160135030746,,
55,0.012983755208551884,,
56,0.012934043072164059,,
57,0.012621897272765636,,
58,0.01226145587861538,,
59,0.012365590780973434,,
60,0.012471722438931465,,
61,0.012372097000479698,,
62,0.012254420667886734,,
63,0.01232688408344984,,
64,0.012334948405623436,,
65,0.012243653647601604,,
66,0.01239025592803955,,
67,0.011648238636553288,,
68,0.012177420780062675,,
69,0.011848353780806065,,
70,0.01130000315606594,,
71,0.011581418104469776,,
72,0.011577318422496319,,
73,0.011679459363222122,,
74,0.011744679883122444,,
75,0.011680902913212776,,
76,0.011288613080978394,,
77,0.011838598176836967,,
78,0.012004305608570576,,
79,0.011314669623970985,,
80,0.01160692609846592,,
81,0.01175818033516407,,
82,0.011148951947689056,,
83,0.012007788754999638,,
84,0.011519026942551136,,
85,0.01162627711892128,,
86,0.011182958260178566,,
87,0.011846398003399372,,
88,0.011620573699474335,,
89,0.011503390967845917,,
90,0.011379011906683445,,
91,0.011812501586973667,,
92,0.011505410075187683,,
93,0.011447079479694366,,
94,0.011843119747936726,,
95,0.011379190720617771,,
96,0.011323251761496067,,
97,0.011774241924285889,,
98,0.011751091107726097,,
99,0.011631622910499573,,
100,0.011447719298303127,,
101,0.011387446895241737,,
